"","x"
"326","STK16"
"327","TUBA4A"
"328","SP140"
"329","SP100"
"330","HACL1"
"331","RFTN1"
"332","UBE2E1"
"333","TCAIM"
"334","RPL29"
"335","RPL24"
"336","IFT57"
"337","CD96"
